Place_Id,Place_Name,Category,City,Rating,Tags
1,Monumen Nasional,Budaya,Jakarta,0.652173913043478,monumen nasional populer singkat monas tugu monas monumen ingat setinggi meter kaki diri kenang lawan juang rakyat indonesia rebut merdeka perintah kolonial hindia belanda bangun monumen mulai tanggal agustus bawah perintah presiden soekarno buka umum tanggal juli tugu mahkota lidah api lapis lembar emas melambang semangat juang menyalanyala monumen nasional letak tepat tengah lapang medan merdeka jakarta pusat budaya
2,Kota Tua,Budaya,Jakarta,0.652173913043478,kota tua jakarta nama kota tua pusat alunalun fatahillah alunalun ramai tunjuk rutin tari tradisional museum sejarah jakarta bangun era belanda lukis barang antik sedang museum wayang pamer boneka kayu khas jawa desa glodok chinatown kenal makan kaki lima pangsit mi goreng dekat sekunar kapal tangkap ikan labuh sunda kelapa kuno budaya
3,Dunia Fantasi,Taman Hiburan,Jakarta,0.652173913043478,dunia fantasi sebut dufan tempat hibur letak kawasan taman impi jaya ancol jakarta utara indonesia dufan resmi buka tanggal agustus taman hibur
4,Taman Mini Indonesia Indah (TMII),Taman Hiburan,Jakarta,0.5652173913043481,taman mini indonesia indah rupa suatu kawasan taman wisata tema budaya indonesia jakarta timur area luas kurang lebih hektare kilometer persegi letak koordinat lsbt taman hibur
5,Atlantis Water Adventure,Taman Hiburan,Jakarta,0.5652173913043481,atlantis water adventure kenal atlantis ancol suguh tualang wisata air tak lupa tempat wisata tema main air luas hektar beri sensasi tualang kolam utama kolam antila plaza atlas poseidon aquarius octopus kiddy pool atlantean lokasi kawasan ancol jakarta baycity atlantis jadi pilih destinasi pas wisata renang taman hibur
6,Taman Impian Jaya Ancol,Taman Hiburan,Jakarta,0.5652173913043481,taman impi jaya ancol rupa buah objek wisata jakarta utarann taman hibur
7,Kebun Binatang Ragunan,Cagar Alam,Jakarta,0.5652173913043481,kebun binatang ragunan buah kebun binatang letak daerah ragunan pasar minggu jakarta selatan indonesia kebun binatang luas hektare diri tahun bagai koleksi diri spesies spesimennragunan sempat tutup lama tiga minggu sejak september hewanhewan infeksi flu burung buka oktober kebun binatang milik banyak spesies hewan langka kakatua orangutan gorila anoa gajah cagar alam
8,Ocean Ecopark,Taman Hiburan,Jakarta,0.1304347826086958,ocean ecopark salah satu zona rekreasi ancol tawar ruang buka hijau alam lupa sisi didik unjung agam aktivitas wahana seru main tempat rekreasi keluarga beberapa outbondholic rumah energy rumah lebah kano paintball outbondholic ecomarket learning farm ecobike faunaland kalau rencana wisata ocean eco park ancol perlu khawatir harga tiket masuk harga tiket masuk ocean eco park tawar harga jangkau taman hibur
9,Pelabuhan Marina,Bahari,Jakarta,0.4782608695652177,labuh marina ancol kawasan taman impi jaya ancol jakarta labuh biasa sebut dermaga marina ancol kawasan perlu seberang kembang banyak wisata air olahraga air maupun wahana main fungsi utama labuh untuk layan tumpang seberang tuju pulau ribu balik banyak orang jakarta jadi kepulaun ribu bagai tuju wisata utama libur pulau ribu memang mampu hilang penat kerja kota metropolitan sembari nikmat indah pantai jaga baik marina ancol jakarta utara cara lengkap alamat kota tua ancol pademangan kota jakarta sangat mudah tuju tempat tidak terlalu jauh pusat kota ada banyak transportasi umum tuju tempat juga jasa transportasi online bahari
10,Pulau Tidung,Bahari,Jakarta,0.5652173913043481,pulau tidung salah satu lurah camat pulau ribu selatan kabupaten pulau ribu jakarta indonesia bahari
11,Pulau Bidadari,Bahari,Jakarta,0.652173913043478,pulau bidadari rupa salah satu resor kabupaten pulau ribu jakarta nama pulau bidadari pulau milik nama pulau sakit pulau purmerend bahari
12,Pulau Pari,Bahari,Jakarta,0.1304347826086958,pulau pari buah pulau letak pulau ribu daerah khusus ibukota jakarta indonesia bahari
13,Pulau Pramuka,Bahari,Jakarta,0.304347826086957,pulau pramuka rupa salah satu pulau gugus pulau ribu pulau rupa pusat administrasi perintah kabupaten administrasi pulau ribu pulau pramuka masuk wilayah lurah pulau panggang bahari
